"palabra","significado","ejemplo"
"morrocota","moneda antigua grande, de oro o de plata",""
"morrongo","lento, lerdo",""
"morrongo","taimado",""
"mosco","mosca","con sus medias no le pica mosco ni zancudo"
"mosquear","dicho del gallo de pelea cuando está ciego, tirar picotazos al aire como si cogiera moscas",""
"mote","granos de maíz sin cáscara y cocinados, que se usan en la preparación de diferentes platos",""
"mote","sopa de ñame con queso",""
"motete","atado, envoltorio, paquete, especialmente de ropa",""
"motola","cabeza","le funciona mal la motola"
"motoso","dicho del cabello, corto y ensortijado",""
"motoso","dicho de una prenda de vestir, que tiene motas",""
"motoso","sueño breve","echar un motoso"
"moya","vasija de barro cocido, grande como una tinaja, pero sin cuello",""
"moyo","vasija de barro cocido, grande como una tinaja, pero sin cuello",""
"mozo","amante",""
"moñona","en el tejo, acierto máximo que se logra al reventar la mecha y quedar el tejo embocinado",""
"moñona","en el juego de bolos, tumbar todos los palos de una vez",""
"muchilero","dicho de un medio de transporte público, que para en muchos sitios",""
"mucho tilín tilín y nada de paletas","expresión que se usa para indicar que se hace mucho alarde de algo pero no se resulta con nada",""
"mueco","desdentado",""
"muenda","zurra, tunda, paliza","mi mamita me pegó/porque eché un peine a rodar;/ mamita, dame otra muenda/y ayudámelo a buscar"
"mugre","suciedad",""
"mugre","persona o cosa despreciable","pues, quién sabe si se dejan embobar de cualquier mugre"
"mula","cabeza",""
"mula","camión de gran capacidad para transportar carga pesada",""
"mula","persona que transporta clandestinamente drogas",""
"mulera","especie de poncho o manta pequeña, más larga que ancha, que usan los arrieros para proteger la ropa y para vendar las mulas","con el mugriento sombrero hacia atrás; la mulera al hombro"
"murriar","impregnar una superficie con cemento muy diluido en agua",""
"musaraña","mueca y gestos que se hacen con la cara y las manos, casi siempre por burla",""
"musengue","especie de espantamoscas fabricado con un cabo de palma deshilado, preferentemente del cogollo de la palma de vino",""
"mute","sopa preparada con granos de maíz cocinados y pelados, legumbres y otros ingredientes",""
"muérgano","dicho de una persona, inútil, vago",""
"muñeco","cadáver",""
"muñequera","pelea a puños",""
"mágico","narcotraficante",""
"míchico","voz, que repetida, se emplea para llamar los gatos",""
"míster","estadounidense, y, más generalmente, extranjero de aspecto rubio o blanco","un míster preguntó por la señorita"
"música guasca","género popular de ritmo sencillo, similar al corrido o ranchera",""
"nacido","forúnculo, inflamación infecciosa de las glándulas sudoríparas, especialmente la de las axilas",""
"naco","puré de papa",""
"nalguear","golpear a una persona en las nalgas",""
"nariguera","aro de metal que se pone a algunos cerdos y reses en la nariz",""
"nave","automóvil lujoso","qué nave la que te compraste"
"necear","molestar, portarse mal, no hacer caso","han neceado todo el día"
"necio","chinchoso, fastidioso",""
"negramenta","conjunto de personas de raza negra",""
"neura","mal humor","tiene una neura porque no le resultó el negocio"
"ni por el putas","de ninguna manera",""
"niguatero","persona de mal comportamiento, de poca importancia","ese es un pobre niguatero"
"niña","forma de tratamiento de respeto y afecto que se usa con las mujeres, especialmente mayores","niña luisa, ya llegué"
"no aguanta","indica que es imposible o inconveniente realizar algo",""
"no aguanta","indica que algo o alguien no llena las expectativas",""
"no comer cuento","no dejarse convencer de algo",""
"no estar el palo para hacer cucharas","expresa que uno no está en situación o disposición para hacer algo","no todos los días está el palo para hacer cucharas"
"no saber ni dónde está parado","no tener ni idea de lo que debe hacer",""
"no saber o entender ni papa","ser completamente ignorante en un tema","no sé ni papa de francés"
"no servir para tacos","ser incapaz de hacer algo, inepto",""
"no tener para la yuca","no disponer de dinero para el mercado",""
"no tener pierde","tener éxito asegurado","ese negocio no tiene pierde"
"nochera","prostituta",""
"nochero","mesa de noche",""
"nuestro amo","entre los católicos, la hostia consagrada en la eucaristía",""
"número","amante",""
"obra gris","fase del proceso de construcción posterior a la obra negra, en la cual las paredes ya están pañetadas e instaladas otras partes de la vivienda, como puertas y closets",""
"obra negra","fase del proceso de construcción en el cual solo se han terminado la estructura básica: las paredes y los pisos",""
"obsequioso","referido a la persona dadivosa, que suele hacer regalos",""
"ojo de pescado","carnosidad de la piel que se produce por un virus",""
"ojos brotados","dicho de los ojos, saltones","berreó él"
"olla","sitio de mala muerte donde se expenden alucinógenos",""
"olleta","recipiente para preparar el chocolate",""
"onceadero","salón de onces",""
"onces","corto refrigerio que se toma entre el almuerzo y la comida o, en algunos lugares, entre el desayuno y el almuerzo",""
"opa","voz para saludar o llamar la atención",""
"oste","voz que emplean los campesinos para detener a los bueyes de trabajo",""
"ovejo","carnero, macho de la oveja",""
"pachanga","fiesta muy animada, con música, baile y licores",""
"pachocha","pachorra, calma excesiva en hacer las cosas","no hagas más pachocha y ponte a estudiar"
"pachochar","hacer algo con lentitud deliberada",""
"pachorrear","demorarse deliberadamente en la ejecución de alguna labor","ese peón pachorrea demasiado"
"paila","recipiente de cocina, de metal, con asas, redondo y algo profundo que se usa especialmente para fritar",""
"paisa","antioqueño",""
"paja","algo no verídico","eso que usted me está diciendo es pura paja"
"pajarear","andar buscando amoríos por todos lados",""
"pajarero","dicho de un caballo, asustadizo",""
"pajudo","mentiroso",""
"palanca","persona cuya intervención o influencia se utiliza para obtener algo","tiene muchas palancas en el gobierno"
"palanquear","interceder con poder o influencia para lograr algún fin, por ejemplo, conseguirle empleo a alguien, cupo en un plantel escolar, etc",""
"paleta","helado en forma de pala, que se chupa cogiéndolo por un manguito de madera",""
"palo","ganador inesperado","su elección fue considerada como un palo"
"palo","árbol","un palo de mango"
"palo de agua","aguacero",""
"paloma","breve recorrido gratuito en un vehículo",""
"paloma","actividad o trabajo transitorio como reemplazo de alguien que está en una posición superior",""
"pan","vulva de la mujer",""
"pan de agua","variedad de pan blanco con poco aliño",""
"pan de bono","panecillo de yuca o maíz con queso",""
"pan de maíz","panecillo a base de maíz",""
"pan de yuca","panecillo de yuca en forma de herradura",""
"pandero","especie de galleta de almidón, mantequilla, azúcar, huevos y a veces panela",""
"panela","azúcar morena, sin refinar, que se prepara con la miel de la caña de azúcar y se presenta en bloques de variadas formas y tamaños",""
"panelero","relativo a la panela","industria panelera"
"panocha","arepa grande hecha de maíz tierno (choclo) que se envuelve en hojas de plátano y se asa en la brasa",""
"panocha","pan grande, relleno de dulce y queso",""
"panocha","empanada pequeña hecha con arequipe y rellena con coco rallado",""
"panocha","vulva",""
"pantallero","fanfarrón, amigo de alardear",""
"pantaloncillos","calzoncillos",""
"pantalonudo","corajudo, valiente",""
"papa","comida, alimento",""
"papa caliente","asunto difícil y delicado de tratar","el reemplazo de juan manuel santos en la u se volvió una papa caliente"
"papa criolla","la que es pequeña y amarilla",""
"papas chorreadas","las que son cubiertas de un guiso criollo con queso derretido",""
"papayazo","ocasión, oportunidad que alguien aprovecha para hacer algo, generalmente en perjuicio de otra persona",""
"papelero","simulador","no le creas que está enferma porque es muy papelera"
"papujo","dicho de una persona, que tiene abultados los párpados",""
"papujo","dicho de una persona, que es de baja estatura y de cuello corto",""
"paraco","dicho del cabello, desordenado, desarreglado",""
"paraco","paramilitar",""
"paramar","lloviznar",""
"paramuno","perteneciente o relativo a los páramos",""
"parce","entre jóvenes, compañero, amigo",""
"parcero","entre jóvenes, compañero, amigo",""
"parche","sitio de reunión de jóvenes",""
"parche","grupo de jóvenes",""
"parte","multa por infracciones de tráfico",""
"parva","conjunto de galletas, pasteles y otras golosinas que se toman con las comidas",""
"pasabocas","aperitivos pequeños, generalmente de sal, que se ofrecen en reuniones sociales",""
"pasar aceite","dicho de una persona de edad avanzada, encontrarse en mal estado de salud","mi abuelo ya está pasando aceite"
"pasar como sobre ascuas","pasar rápidamente sobre un asunto",""
"pasar de agache","rehuir mañosamente el tratamiento o solución de un asunto",""
"pasar el páramo","expresa el hecho de haber tenido un susto aterrador",""
"paseo millonario","modalidad de atraco que consiste en irrumpir en un taxi y obligar al pasajero a retirar sucesivamente dinero de los cajeros electrónicos",""
"pasillo","musica y baile típico de la región andina, de ritmo rápido y ligero",""
"pasma","estado producido por la suspensión del efecto embriagante de las bebidas alcohólicas",""
"pasmado","atontado, alelado por dejar de beber licor",""
"pasmarse","quedar atontado, alelado por la interrupción del consumo de alcohol",""
"patacón","rebanada frita de plátano verde. ∥ ~",""
"pataleta","acceso violento de ira o enojo",""
"patanada","acción grosera y torpe de una persona",""
"patasola","personaje de espanto en una conocida leyenda popular",""
"patilla","parte trasera superior de la canoa, sobre la cual se coloca el patrón o piloto",""
"patilla","sandía",""
"patinarle el coco","comportarse como si estuviera chiflado",""
"patirrajado","persona de baja condición social","ese es un pobre patirrajado"
"pato","recipiente donde orinan personas enfermas que no se pueden levantar de la cama",""
"pato","persona que asiste a un evento sin ser invitado o sin pagar. il",""
"patojo","expresión de cariño hacia una persona",""
"patojo","oriundo de popayán",""
"patojo","niño considerado de pocos años. era un patojo cuando lo conocí",""
"patota","grupo grande de personas",""
"patuleco","que tiene las piernas torcidas",""
"patuleto","que tiene las piernas torcidas",""
"paturro","de baja estatura",""
"paz y salvo","certificado oficial en el que se afirma que una persona no debe o no adeuda nada al estado por concepto de impuestos",""
"pañalera","lugar donde se venden pañales y otros artículos para bebés",""
"pañalera","bolsa donde se guardan los pañales y otros objetos de aseo de un bebé",""
"pañetar","cubrir con pañete una pared",""
"pañete","mezcla de cemento y arena para enlucir paredes",""
"pechichar","consentir a alguien",""
"pechichar","tratar a una persona con especial cariño",""
"pechichón","consentido, mimado",""
"pechugón","que le gusta vivir a costa de los demás. «todo esto —dice césar sacando los cartones son encomiendas de las hermanas de mi señora chepa, la amiga de mamá ¿no? ; señoras más pechugonas",""
"pecueco","mal olor que se produce entre los dedos de los pies por falta de aseo",""
"pecueco","dicho de una persona, cosa o actividad, que se considera de mala calidad o insatisfactorio","me metí en un negocio pecueco"
"pedir cacao","rendirse en una disputa",""
"pedir excusas","disculparse, presentar excusas",""
"pega","chanza",""
"pega","resto de comida, especialmente de arroz, que queda adherida al fondo de la olla durante la cocción",""
"pegote","stder , nstder. niño pequeño",""
"pela","golpes dados a alguien generalmente con una correa","li'arrancó la carta que tenía guardada en el seno, l'encimó su buena pela y la rumbó de la casa"
"peladez","carencia de dinero",""
"pelado","calvo",""
"pelado","niño o adolescente","todos esos pelados son amigos de mi hermana"
"pelanga","plato popular hecho con vísceras de res",""
"pelar","zurrar, castigar a los niños",""
"pelicandelo","pelirrojo",""
"pelota","tonto, bobo",""
"peludo","difícil, complicado","está peludo este examen"
"pena","vergüenza, cohibición",""
"pendejear","hacer o decir necedades o tonterías","deja de pendejear y ponte a trabajar"
"pendejo","tonto, estúpido",""
"penoso","tímido",""
"pepa","balazo",""
"pepa","cabeza humana",""
"pepa","gragea medicinal",""
"pepo","que está bajo el efecto de un alucinógeno",""
"perchudo","elegante, bien vestido",""
"pereque","molestia, mortificación","ese señor pone mucho pereque con sus visitas a deshoras"
"perezosa","silla con respaldo largo y asiento hechos de una misma pieza de lona y con tijera graduable",""
"perica","cocaína empleada como alucinógeno",""
"perico","ave",""
"perico","café con leche servido en taza pequeña",""
"peritazgo","peritaje",""
"perjudicar","desvirgar o embarazar a una mujer",""
"perrata","plebe","la perrata se sublevó"
"perratearse","echarse a perder algo o alguien, dañarse",""
"perrenque","zurriago",""
"perrera","lugar con casas pequeñas para perros",""
"perrero","látigo de cuero sujeto al extremo de una vara de un metro de longitud, aproximadamente",""
"perro","dicho de un hombre, que corteja a varias mujeres al mismo tiempo",""
"petaquearse","echar a perder una cosa","se petaqueó la máquina"
"petaquearse","causarle perjuicio a una persona","se lo petaquearon con ese encargo"
"peto","alimento hecho con granos enteros de maíz cocido que se sirve con leche y panela",""
"picado","pretencioso",""
"picado","disgustado","quedó picado conmigo"
"picado","partido de fútbol informal",""
"picado","conjunto de pasabocas compuesto de frituras",""
"picado","punzada, dolor agudo, repentino y pasajero","me dio una picada en la cintura"
"picar el ojo","cerrar y abrir rápidamente un ojo como señal o advertencia a alguien","le picó el ojo para coquetearle"
"picha","secreción de los párpados que se cuaja en el borde de estos",""
"pichar","realizar el acto sexual",""
"piches","secreción de los párpados que se cuaja en el borde de estos",""
"pichicato","cicatero, tacaño",""
"pichingo","miembro viril",""
"pichingo","pájaro pequeño, especialmente el gorrión implume",""
"pichirilo","automóvil viejo",""
"picho","podrido",""
"picho","desagradable","la reunión resultó picha"
"picho","gran cantidad de algo","mi vecino está picho de dinero"
"pichonear","sorprender a una persona haciendo o diciendo algo inconveniente o indebido",""
"pichoso","que tiene lagañas en los ojos",""
"pichurreo","venta al menudeo, negocio de poca venta",""
"pichurria","cosa insignificante, de poco valor",""
"pico","beso","le dio un pico, un piquito"
"pico y placa","limitación horaria del tránsito vehicular urbano en ciertos días",""
"picurearse","escaparse, fugarse",""
"piedra","furia, enojo como reacción por algo",""
"pilo","dicho de una persona, que es muy juiciosa y aplicada",""
"piloso","aplicado, esforzado, despierto",""
"pinchado","elegante, que viste muy bien",""
"pinga","pene",""
"pingo","fórmula de tratamiento de confianza entre amigos","hola, pingo"
"pingo","malo","qué negocio tan pingo"
"pingo","persona","quién es ese pingo"
"pingua","persona u objeto de tamaño muy pequeño","carlitos es una pingua de dos años"
"pingua","canica pequeña",""
"pinol","bebida hecha de harina de maíz tostado a la que se agrega cacao y panela o azúcar",""
"pinta","vestimenta","qué pinta me pongo para el coctel"
"pioja","espolón de gallo que se pone al peleador cuando este tiene las espuelas muy cortas o dañadas",""
"pioja","espuela para picar las caballerías",""
"pipa","barriga, vientre","me duele la pipa"
"pipiciego","cegato, corto de vista",""
"pipocho","lleno, repleto",""
"piponcho","lleno, repleto",""
"pipón","dicho de una mujer, encinta","la señora está ya pipona"
"pipón","barrigón",""
"pique","arranque rápido de un automóvil",""
"pique","competencia de carreras cortas de automóviles",""
"piqueria","porfía, rivalidad, emulación entre dos copleros o repentistas",""
"piqueria","acto de entrar en competencia dos copleros",""
"pisar","adelantar parte del precio de un negocio, con el fin de asegurarlo","te piso la compra del apartamento con un cheque"
"pisar","marcharse","con permiso yo me piso"
"pispo","bonito, agradable",""
"piste","maíz quebrado y no reducido a harina que, mojado y puesto en reposo, se fermenta y sirve para hacer la mazamorra de piste","de esta tierra me destierran/por no darme mazamorra;/ que el gallo les coma el piste/y el puerco les rompa l'olla"
"pistero","hematoma producido por un puñetazo en un ojo","le hicieron su buen pistero"
"pisón","pisotón",""
"pitchear","en el juego de béisbol, lanzar la bola al bateador",""
"pite","juego infantil con monedas",""
"pite","pedazo pequeño de una cosa","deme un pite de panela"
"piu","voz que, repetida, se usa para llamar a las gallinas",""
"planazo","golpe que se da con la parte plana del machete",""
"planta de la mano","palma de la mano",""
"plato","persona o asunto divertido o muy peculiar","qué plato de película"
"plato frío","menú que consiste en pollo, pavo, jamón, mortadela o galantina, etc , con ensalada de papa, de verdura o de fruta, a veces con crema de leche, que se sirve frío",""
"plato hondo","el que se usa para tomar la sopa",""
"plato pando","el que es de poca hondura, casi plano y grande",""
"plato tortero","el que es pequeño y se usa para servir postres o tortas",""
"platudo","rico, adinerado","él invita que está platudo"
"platón","recipiente circular, ancho y poco profundo que se usa para lavar la ropa",""
"plebe","ordinario, soez","pedro es muy plebe"
"plomera","tiroteo",""
"pochecas","glándulas mamarias femeninas",""
"pochola","cerveza",""
"pola","cerveza",""
"policivo","relativo a la policía",""
"pomo","borla de un material suave o algodón que se usa para aplicarse polvos",""
"pompo","romo, sin punta o sin filo",""
"ponchera","recipiente ancho y de poca profundidad que tiene diferentes usos",""
"poner conejo","engañar, incumplir las promesas hechas","en la reunión informal de las comisiones séptimas, maría cristina ocampo dijo que el gobierno le puso conejo al congreso con las reformas a la seguridad social. el congresista alberto cano le reprochó diciéndole que si no le daba pena usar esas palabras tan feas en la casa de las leyes. más penoso es que el gobierno nos ponga conejo y no se ponga colorado, insistió ella"
"poner conejo","abandonar un establecimiento público sin pagar el servicio que se ha recibido","usté está creyendo que me va a robar a mí? [ .]. pues está muy equivocado mijito: tiene que ir a ponerle sus conejos a otra más pendeja que yo"
"ponerse mosca","estar en alerta, avisparse",""
"popocho","gordo",""
"popocho","variedad de plátano",""
"popocho","dicho de una persona, lleno por comer mucho",""
"popocho","repleto, harto",""
"popora","chichón, tumor","juan tiene una popora en la pierna"
"poporo","calabazo de los indígenas de la sierra nevada, donde mezclan la coca con cal y ceniza",""
"poposearse","defecar involuntariamente un niño, ensuciándose la ropa",""
"popó","excremento",""
"pordebajear","humillar, subestimar a una persona","nieves consiente en la venta, porque ve la conveniencia . ¡mas luego vos estás sola y pordebajiada"
"porra","cabeza humana",""
"porra","persona inteligente",""
"porro","aire folclórico originario de la costa caribe colombiana con influencia de la cultura negra",""
"portacomidas","portaviandas de cacerolas superpuestas para llevar la comida fuera de casa",""
"pote","individuo gordo y de baja estatura",""
"pote","cárcel",""
"poteca","ahuyama",""
"poteca","puré de ahuyama, arracacha o papa",""
"potreraje","canon de arrendamiento que se paga al propietario de un potrero",""
"precipitud","precipitación",""
"prender","encender, poner en funcionamiento algo, como un carro, la luz, etc",""
"prender","dicho de una persona, embriagarse ligeramente","se prendió con dos cervezas"
"prima","suma, adicional al sueldo, que los empleadores dan de vez en cuando o en forma regular a sus empleados",""
"principio","alimento que se sirve junto con el arroz, carne y papa, por ejemplo, habichuelas, frijoles, alverjas o lentejas",""
"pringar","desinfectar un objeto sumergiéndolo en agua hirviente",""
"pucho","restos que quedan de algo",""
"pucho","pequeña cantidad de algo","me vende un pucho de alverjas, por favor"
"pucho","chato, persona de nariz corta",""
"pucho","colilla del cigarrillo",""
"puntaje","número determinado de tantos que se ganan en el juego, o que se obtienen en un examen",""
"puntal","refrigerio","corremos a casa a tomar el puntal para volver al trisagio"
"puntear","ir delante de todos en una competencia",""
"puntero","en las competencias de velocidad, persona que va en el primer lugar","el ciclista colombiano va de puntero"
"puntilla","clavo delgado, de hierro o acero que se emplea en construcciones y otros usos",""
"pupo","ombligo",""
"putas","demonio","llevárselo el putas"
"putear","insultar a alguien con palabras soeces",""
"puñera","serie de puñetazos",""
"pájaro","durante la violencia de los años cincuenta, asesino al servicio de un partido político",""
"pájaro","pene",""
"páramo","llovizna",""
"páramo","lugar de la zona andina que se encuentra a más de tres mil metros de altura",""
"quebrar","matar, asesinar",""
"quedar pálido","asustarse","quedaron pálidos con la noticia"
"quedarse","reprobar una asignatura","me quedé en cálculo"
"quedarse","permanecer alguien soltero, siendo ya una persona mayor",""
"quedarse o dejar con los crespos hechos","sufrir o causar una frustración debido a expectativas no realizadas",""
"quejereque","que se queja por todo",""
"querido","dicho de una persona, simpática, amable","ella es muy querida con todo el mundo"
"querneja","trenza del cabello de una mujer",""
"quesillo","queso blanco, blando y suave que se envuelve en hojas de plátano",""
"quesque","dizque, presuntamente","me dijeron quesque va a venir el obispo"
"quicato","dicho de un niño o adolescente, mal educado, entrometido","ese muchacho es muy quicato"
"quicha","diarrea",""
"quijo","clase de granadilla de corteza suave",""
"quimba","alpargata",""
"quimbolito","pequeño envuelto, hecho en una masa similar a la del ponqué, que se envuelve en hoja de plátano y se cocina al vapor",""
"quin","golpe dado con el herrón de un trompo contra otro trompo",""
"quingo","camino con curvas",""
"quinta","casa con antejardín o rodeada de jardines",""
"quisque","dizque, presuntamente","me dijeron quesque va a venir el obispo"
"quitarle el hipo","a alguien . bajarle los humos a alguien",""
"quién quita","se usa para expresar cierta esperanza de que algo suceda","quién quita que se casen"
"qué guama","expresión de enfado o contrariedad",""
"qué lapo de mujer","se emplea para ponderar los atributos de una mujer",""
"qué vaina","expresión de disgusto o preocupación",""
"rabón","molesto por algo",""
"rajaleña","baile y canto del folclor huilense y tolimense",""
"rajar","salir reprobado en una asignatura o en un examen cualquiera","se rajó en el examen de matemáticas"
"rajar","hablar mal de alguien",""
"rambar","rapar",""
"rampla","plano de terreno inclinado, para subir o bajar por él",""
"rancharse","alojarse en un lugar, por lo general sin consentimiento de los dueños",""
"rancharse","empecinarse en hacer o no hacer algo",""
"randanga","serie o montón de personas, animales o cosas",""
"raponazo","robo de algo de forma violenta, por sorpresa y rápida, en el que el ladrón se fuga corriendo",""
"raponear","apoderarse ilícitamente de una cosa, quitándola con violencia o sorpresa de las manos o de encima de una persona",""
"raponero","y persona que raponea",""
"rasca","guacharaca, instrumento musical de percusión hecho con caña y con unas pequeñas ranuras que suenan al rasparlo",""
"rasca","borrachera, embriaguez",""
"rascarse","emborracharse",""
"rata","ratero",""
"rata","persona vil y despreciable",""
"rata","tasa de interés",""
"rayarse","molestarse",""
"reato","escrúpulo",""
"rebuscarse","ingeniarse para encontrar medios de subsistencia diaria",""
"rebusque","actividad que se hace para obtener lo necesario para la subsistencia diaria",""
"recado","conjunto de ingredientes que se agregan a la sopa, como granos, alverja, papa, mazorca, etc",""
"recocha","diversión desordenada y ruidosa",""
"recocha","broma",""
"recochar","chancearse con alguien","como que me estás recochando, ¿no"
"recochar","divertirse en forma desordenada y ruidosa",""
"recorderis","indicación para no olvidar algún asunto","acepto la invitación, pero dame un recorderis la víspera"
"recorrido","dicho de una persona, que tiene mucha experiencia",""
"recursivo","dicho de un lugar o sector de la ciudad, que tiene establecimientos comerciales, colegios, facilidades de transporte","el centro es muy recursivo"
"recursivo","dicho de una persona, que se le ocurren ideas para salir airosa en cualquier situación",""
"refajo","bebida refrescante compuesta de cerveza y gaseosa",""
"refundir","extraviar algo","refundí el libro que me regalaron"
"regalar","servir o traer algo que se pide","me regala un café, por favor"
"regarse","abundar en improperios, razones o elogios","se regó en críticas y acusaciones"
"reguero","conjunto de cosas desordenadas","recoge el reguero que dejaste en el estudio"
"relievar","exaltar, destacar o engrandecer una cosa",""
"remezón","temblor leve",""
"remezón","cambio brusco de carácter político, social o económico",""
"remojo","invitación que hace una persona por estar estrenando o celebrando algo","hoy daré el remojo por mi nuevo puesto"
"renguera","renquera",""
"renguera","rabia paralizante del ganado vacuno trasmitida por el vampiro",""
"repelar","comer los restos que quedan de una comida en una olla",""
"repele","sobras de comida",""
"requintar","arreglar o componer la carga de las bestias",""
"res","animal vacuno, especialmente la vaca",""
"resbaladera","refresco que se prepara con arroz molido, agua, azúcar y esencia de rosas",""
"resbaloso","huidizo, inclinado a no comprometerse, especialmente con el matrimonio",""
"retén","puesto de policía, fijo o móvil, para controlar cualquier actividad",""
"revendedora","mujer que vende víveres en la plaza del mercado",""
"revirar","replicar vivamente",""
"revirar","en ciertos juegos, doblarle la apuesta al contrario",""
"rezandero","que reza mucho",""
"riche","papa pequeña",""
"riego","porción de tierra húmeda destinada a una sementera","tengo un riego de papa"
"rila","carne blanca y fibrosa de res vacuna",""
"rochela","bullicio, desorden",""
"rodillijunto","que tiene las piernas torcidas, con las rodillas juntas",""
"rollo","tema o exposición acerca de algo","me gusta el rollo de la literatura colombiana"
"rondador","zampoña, instrumento musical parecido a la flauta, con varios tubos de caña escalonados",""
"rosca","grupo de personas que obra en beneficio propio, excluyendo a otras sin razón","no le dieron el puesto, porque no era de la rosca"
"roscón","rosca de harina de maíz rellena de bocadillo o arequipe salpicada con azúcar",""
"roscón","homosexual",""
"rumba","diversión colectiva que incluye licor y baile",""
"rumbadora","juego infantil que consiste en hacer vibrar una ruedita en un cordel",""
"rumbar","expulsar a alguien de un lugar",""
"rumbear","coquetear, conquistar a alguien",""
"rumbear","participar en una fiesta o rumba","rumbeamos hasta las tres de la mañana"
"rumbear","tener una relación sexual casual con alguien",""
"rumbero","que le gusta la fiesta y la diversión",""
"rumbo","herrumbre, óxido que se forma en las vasijas y objetos de cobre cuando no se usan",""
"runchera","lugar deteriorado, en malas condiciones","ese hotel es una runchera"
"runcho","mamífero marsupial, pequeño, de hocico prominente",""
"ruyas","pequeños rollos de harina de maíz, con los que se hace sopa",""
"saber","acostumbrar","este amigo sabe madrugar todos los días"
"saberselas todas","expresión con que se pondera la habilidad de una persona para desempeñarse bien en su actividad",""
"sacar la mano","descomponerse un aparato",""
"sacar la piedra","fastidiar, importunar, sacar de casillas a alguien","me sacó la piedra con todos sus chismes"
"sacarle un gato","a alguien . golpear a alguien con el puño en el bíceps o en el cuadriceps",""
"sacarse las yucas","hacer traquear los nudillos de los dedos",""
"sagú","planta y harina del mismo nombre que se extrae de la raíz y se utiliza como alimento",""
"salado","dicho de una persona, que tiene mala suerte","estamos salados, no hemos ganado ningún partido"
"salar","tener o dar mala suerte",""
"salir","armonizar entre sí varias cosas o cualidades de ellas, especialmente tratándose del vestido","los zapatos le salen con la chaqueta"
"salir como pepa de guama","salir rápidamente",""
"salir como un tiro","salir velozmente",""
"salir pitado","salir a toda velocidad","salieron pitados para la casa"
"salpicón","mezcla de trozos de diferentes frutas con algún líquido, como jugo de naranja o gaseosa",""
"saltar matones","estar en apuros o en grandes dificultades, especialmente de carácter económico",""
"saltársele la chispa","ponerse furioso",""
"salud","expresión que se dice a alguien cuando estornuda",""
"salón","lugar donde se imparte una clase en una institución educativa","tenemos clase de español en el salón 215"
"sampedrear","divertirse en la fiesta de san pedro, el 29 de junio",""
"sancochería","establecimiento, generalmente mal acondicionado, en donde se sirven comidas populares",""
"sanjuanear","divertirse en la fiesta de san juan, el 24 de junio","san juan y la magdalena/se jueron a sanjuaniar;/san juan le pegó un moquete/que la hizo patiboliar"
"sanjuanero","baile típico del huila y tolima que es una mezcla del bambuco y de joropo",""
"sapear","delatar","lo sapearon sus mejores amigos"
"sapo","vulva de la mujer","una mujer se orinó/a la sombra di un papayo,/y a un sapo le daba risa/de mirar a su tocayo"
"sapo","adulador",""
"sapo","entrometido",""
"sapo","delator",""
"sapo","dicho de una persona, gruesa y pequeña",""
"saporreto","dicho de una persona, gruesa y pequeña",""
"saporrito","dicho de una persona, gruesa y pequeña",""
"saporro","dicho de una persona, gruesa y pequeña",""
"saporrondó","danza folclórica de la costa pacífica",""
"sapurro","dicho de una persona, gruesa y pequeña",""
"sardinel","escalón que forma el borde exterior de la acera",""
"sardinel","acera",""
"sardino","adolescente",""
"sebucán","colador indígena, fabricado de hojas de palma, para extraer el jugo venenoso de la yuca brava",""
"ser (una) abeja","ser muy vivo, listo, aprovechado",""
"ser buena cuchara","tener buen apetito habitualmente",""
"ser cachas","ser dos personas muy buenos amigos",""
"ser de dudosa ortografía","ser de conducta sospechosa",""
"ser el fucú","ser la mala suerte de alguien",""
"ser pepa","ser inteligente",""
"ser pinta","tener buena presencia, ser elegante","nuestro vecino es pinta"
"ser un número","expresión indicativa de que alguien es muy chistoso, llamativo, grotesco, ridículo","juan con tragos es un número"
"ser una fiera","ser uno muy listo y hábil en algún asunto","antonio es una fiera para el negocio"
"ser una tusa","ser ignorante, inhábil, falto de talento","carlos es una tusa como profesional. ¡pa casarse con una tusa [ .] tiempo sobra"
"ser uña y mugre","tener dos personas una amistad muy estrecha",""
"ser ~","ser una persona alta y delgada",""
"serenar","exponerse al sereno","no te serenes que te da gripa"
"serenar","lloviznar",""
"serenatero","miembro de un conjunto musical que da serenatas",""
"sereno","llovizna",""
"serruchar","ponerse de acuerdo para repartirse ilícitamente entre varias personas una parte de los beneficios de un negocio. el funcionario serruchó con el solicitante",""
"siembro","porción de tierra sembrada","un siembro de papa"
"siempre","indica un cierto grado de algo ¿estás cansado? -siempre. ¿había mucha gente? -siempre",""
"siempre","se refiere a una acción que se realiza en contra de lo previsto. ¿siempre voy? siempre lo botaron del puesto",""
"siempre","no obstante, sin embargo. llovía mucho pero la gente siempre andaba por la calle",""
"sirilí","molestadera. ¡deje ya el sirirí, niño",""
"sirilí","pájaro pequeño enemigo del gavilán",""
"sirirí","pájaro pequeño enemigo del gavilán",""
"sirirí","molestadera. ¡deje ya el sirirí, niño",""
"sobar","friccionar alguna parte del cuerpo con un líquido o ungüento medicinal",""
"sobar","molestar",""
"sobar","maniobrar sobre una parte del cuerpo como tratamiento para luxación u otra lesión",""
"sobar la pita","fastidiar, importunar","no sobe la pita"
"sobernal","sobornal, lo que se añade a una carga regular",""
